id,issuer,ticker,yf_ticker,isin,asset_class,sector,exchange,exchange_code,country,url
1,Punktid Technologies,PNKTD,PNKTD.RG,EE3100089160,equity,,Nasdaq Riga,RSE,EE,https://nasdaqbaltic.com/statistics/et/instrument/EE3100089160/trading
2,SAF Tehnika,SAF1R,SAF1R.RG,LV0000101129,equity,,Nasdaq Riga,RSE,LV,https://nasdaqbaltic.com/statistics/et/instrument/LV0000101129/trading
3,Saunum Group,SAUNA,SAUNA.RG,EE3100019753,equity,,Nasdaq Riga,RSE,EE,https://nasdaqbaltic.com/statistics/et/instrument/EE3100019753/trading
4,Frigate,FRGTE,FRGTE.RG,LV0000101665,equity,,Nasdaq Riga,RSE,LV,https://www.nasdaqbaltic.com/statistics/en/instrument/LV0000101665/trading
7,Enefit Green,EGR1T,EGR1T.TL,EE3100137985,equity,,Nasdaq Riga,TAL,EE,https://nasdaqbaltic.com/statistics/et/instrument/EE3100137985/trading
8,DelfinGroup,DGR1R,DGR1R.RG,LV0000101806,equity,,Nasdaq Riga,RSE,LV,https://nasdaqbaltic.com/statistics/et/instrument/LV0000101806/trading
11,Nordecon,NCN1T,NCN1T.TL,EE3100039496,equity,,Nasdaq Riga,TAL,EE,https://www.nasdaqbaltic.com/statistics/en/instrument/EE3100039496/trading
14,Baltic Horizon Fund / Northern Horizon Capital,NHCBHFFT,NHCBHFFT.TL,EE3500110244,equity,,Nasdaq Riga,TAL,EE,https://nasdaqbaltic.com/statistics/et/instrument/EE3500110244/trading?date=2024-10-07
103,Cargotec,CGCBV,CGCBV.HE,FI4000571013,equity,,Nasdaq Helsinki,XHEL,FI,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=HEX29983&name=Cargotec%20Oyj&ISIN=FI4000571013
105,Consti Oyj,CONSTI,CONSTI.HE,FI4000178256,equity,,Nasdaq Helsinki,XHEL,FI,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=HEX115965&name=Consti%20Oyj&ISIN=FI4000178256
111,Duroc AB,DURC B,DURC-B.ST,SE0000331266,equity,,Nasdaq Stockholm,XSTO,SE,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=SSE4005&name=Duroc%20B&ISIN=SE0000331266
112,Eezy Oyj,EEZY,EEZY.HE,FI4000322326,equity,,Nasdaq Helsinki,XHEL,FI,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=HEX156200&name=Eezy%20Oyj&ISIN=FI4000322326
114,Endomines Finland Oyj,PAMPALO,PAMPALO.HE,FI4000508023,equity,,Nasdaq Helsinki,XHEL,FI,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=HEX278081&name=Endomines%20Finland%20Oyj&ISIN=FI4000508023
1818,Trifork Group AG,TRIFOR.CO,TRIFOR.CO,,equity,,nasdaq_nordics,CPH,Denmark,https://finance.yahoo.com/quote/TRIFOR.CO/
116,Flerie AB,FLERIE,FLERIE.ST,SE0022447348,equity,,Nasdaq Stockholm,XSTO,SE,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=SSE127479&name=Flerie&ISIN=SE0022447348
117,Gofore Oyj,GOFORE,GOFORE.HE,FI4000283130,equity,,Nasdaq Helsinki,XHEL,FI,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=HEX145875&name=Gofore%20Oyj&ISIN=FI4000283130
120,HMS Networks AB,HMS,HMS.ST,SE0009997018,equity,,Nasdaq Stockholm,XSTO,SE,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=SSE43302&name=HMS%20Networks&ISIN=SE0009997018
121,Holmen AB,HOLM B,HOLM-B.ST,SE0011090018,equity,,Nasdaq Stockholm,XSTO,SE,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=SSE222&name=Holmen%20B&ISIN=SE0011090018
122,Investment AB Öresund,ORES,0RGB.L,SE0008321608,equity,,Nasdaq Stockholm,XSTO,SE,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=SSE863&name=Öresund&ISIN=SE0008321608
123,ITAB Shop Concept AB,ITAB,ITAB.ST,SE0015962097,equity,,Nasdaq Stockholm,XSTO,SE,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=SSE56940&name=ITAB%20Shop%20Concept&ISIN=SE0015962097
271,Orphazyme A/S,ORPHA,ORPHA.CO,DK0062502894,equity,,nasdaq_nordics,XCSE,DK,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=CSE145804&name=Orphazyme&ISIN=DK0062502894
118,Hagar hf.,HAGA,HAGA.IC,IS0000020121,equity,,Nasdaq Iceland,XICE,IS,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=ICE85677&name=Hagar&ISIN=IS0000020121
648,Vistin Pharma ASA,VISTN.OL, VISTN.OL,,equity,,Oslo Børs,XOSL,NO,https://finance.yahoo.com/quote/VISTN.OL/
653,Otovo ASA ,OTOVO.OL,OTOVO.OL,,equity,,Oslo Børs,XOSL,NO,https://finance.yahoo.com/quote/OTOVO.OL/
655,BEWi ASA ,BEWI.OL,BEWI.OL,,equity,,Oslo Børs,XOSL,NO,https://finance.yahoo.com/quote/BEWI.OL/
656,Medistim ASA ,MEDIO.OL,MEDIO.OL,,equity,,Oslo Børs,XOSL,NO,https://finance.yahoo.com/quote/MEDIO.OL/
658,Aker Horizons ASA ,7QF.F,7QF.F,,equity,,Oslo Børs,XOSL,NO,https://finance.yahoo.com/quote/7QF.F/
659,Sparebanken Vest ,SVEG.OL,SVEG.OL,,equity,,Oslo Børs,XOSL,NO,https://finance.yahoo.com/quote/SVEG.OL/
661,Gentian Diagnostics ASA ,GENT.OL,GENT.OL,,equity,,Oslo Børs,XOSL,NO,https://finance.yahoo.com/quote/GENT.OL/
662,ArcticZymes Technologies ASA,AZT.OL,AZT.OL,,equity,,Oslo Børs,XOSL,NO,https://finance.yahoo.com/quote/AZT.OL/
664,OKEA ASA,OKEA.OL,OKEA.OL,,equity,,Oslo Børs,XOSL,NO,https://finance.yahoo.com/quote/OKEA.OL/
665,Nordic Semiconductor ASA ,NODO.OL,NODO.OL,,equity,,Oslo Børs,XOSL,NO,https://finance.yahoo.com/quote/NODO.OL/
666,TORM plc ,TRMD-A.CO,TRMD-A.CO,,equity,,nasdaq_nordics,NASDAQ,DK,https://finance.yahoo.com/quote/TRMD-A.CO/
672,Zalaris ASA ,ZAL.OL,ZAL.OL,,equity,,Oslo Børs,XOSL,NO,https://finance.yahoo.com/quote/ZAL.OL/
674,Xplora Technologies AS ,XPLRA.OL,XPLRA.OL,,equity,,Oslo Børs,XOSL,NO,https://finance.yahoo.com/quote/XPLRA.OL/
675,Danske Bank A/S ,DANSKE.CO,DANSKE.CO,,equity,,nasdaq_nordics,NASDAQ,DK,https://finance.yahoo.com/quote/DANSKE.CO/
676,Nekkar ASA,NKR.OL,NKR.OL,,equity,,Oslo Børs,XOSL,NO,Nekkar ASA (NKR.OL)
677,Savencia SA,SAVE.PA,SAVE.PA,,equity,,Euronext Paris,XPAR,FR,https://finance.yahoo.com/quote/SAVE.PA/
678,Orange S.A.,ORA.PA,ORA.PA,,equity,,Euronext Paris,XPAR,FR,https://finance.yahoo.com/quote/ORA.PA/
663,TietoEVRY Oyj ,TIETO.HE,TIETO.HE,,equity,,Nasdaq Helsinki,HEL,Finland,https://finance.yahoo.com/quote/TIETO.HE/
119,HKFoods Oyj,HKFOODS.HE,HKFOODS.HE,,equity,,Nasdaq Helsinki,HEL,Finland,https://finance.yahoo.com/quote/HKFOODS.HE/
1819,NYAB AB,NYAB.ST,NYAB.ST,,equity,,Nasdaq Stockholm,STO,Sweden,https://finance.yahoo.com/quote/NYAB.ST/
12,EfTEN Real Estate Fund,EFT1T.TL,EFT1T.TL,,equity,,Nasdaq Riga,TAL,EE,https://finance.yahoo.com/quote/EFT1T.TL/
679,Danone S.A.,BN.PA,BN.PA,,equity,,Euronext Paris,XPAR,FR,https://finance.yahoo.com/quote/BN.PA/
680,MotorK plc ,MTRK.AS,MTRK.AS,,equity,,Euronext Amsterdam,XAMS,NL,https://finance.yahoo.com/quote/MTRK.AS/
54,Grab2Go,GRB2G,GRB2G.RG,EE3100107194,equity,,Nasdaq Riga,TAL,EE,https://nasdaqbaltic.com/statistics/et/instrument/EE3100107194/trading
55,VIRSI-A,VIRSI,VIRSI.RG,LV0000101848,equity,,Nasdaq Riga,RSE,LV,https://nasdaqbaltic.com/statistics/et/instrument/LV0000101848/trading
57,Zemaitijos Pienas,ZMP1L,ZMP1L.VS,LT0000121865,equity,,Nasdaq Vilnius,VSE,LT,https://nasdaqbaltic.com/statistics/et/instrument/LT0000121865/trading
58,East West Agro,EWA1L,EWA1L.RG,LT0000132060,equity,,Nasdaq Vilnius,VSE,LT,https://nasdaqbaltic.com/statistics/en/instrument/LT0000132060/trading
59,INVL Baltic Real Estate,INR1L,INR1L.VS,LT0000127151,equity,,Nasdaq Vilnius,VSE,LT,https://nasdaqbaltic.com/statistics/et/instrument/LT0000127151/trading
61,INVL Technology,INC1L,INC1L.VS,LT0000128860,equity,,Nasdaq Vilnius,VSE,LT,https://nasdaqbaltic.com/statistics/et/instrument/LT0000128860/trading
62,Siauliu Bankas,SAB1L,SAB1L.VS,LT0000102253,equity,,Nasdaq Vilnius,VSE,LT,https://nasdaqbaltic.com/statistics/et/instrument/LT0000102253/trading
65,TKM Grupp,TKM1T,TKM1T.TL,EE0000001105,equity,,Nasdaq Riga,TAL,EE,https://nasdaqbaltic.com/statistics/et/instrument/EE0000001105/trading
66,LITGRID,LGD1L,LGD1L.VS,LT0000128415,equity,,Nasdaq Vilnius,VSE,LT,https://nasdaqbaltic.com/statistics/et/instrument/LT0000128415/trading
67,Sun Finance Treasury Limited,SUNBFLOT26FA,SUNBFLOT26FA.RG,LV0000802692,bonds,,Nasdaq Riga,RSE,LV,https://nasdaqbaltic.com/statistics/et/instrument/LV0000802692/trading
1820,Kamux Oyj	,KAMUX.HE,KAMUX.HE,,equity,,Nasdaq Helsinki,HEL,Finland,https://finance.yahoo.com/quote/KAMUX.HE/
70,Kauno Energija,KNR1L,KNR1L.VS,LT0000123010,equity,,Nasdaq Vilnius,VSE,LT,https://nasdaqbaltic.com/statistics/et/instrument/LT0000123010/trading
71,Vilniaus Baldai,VBL1L,VBL1L.VS,LT0000104267,equity,,Nasdaq Vilnius,VSE,LT,https://nasdaqbaltic.com/statistics/et/instrument/LT0000104267/trading
73,Akola group,AKO1L,AKO1L.VS,LT0000128092,equity,,Nasdaq Vilnius,VSE,LT,https://nasdaqbaltic.com/statistics/et/instrument/LT0000128092/trading
689,Carasent ASA ,CARAO.OL,CARAO.OL,,equity,,Oslo Børs,XOSL,NO,https://finance.yahoo.com/quote/CARAO.OL/
690,OVH Groupe S.A. ,OVH.PA,OVH.PA,,equity,,Euronext Paris,XPAR,FR,https://finance.yahoo.com/quote/OVH.PA/
809,NTG Nordic Transport Group A/S,NTG.CO,NTG.CO,,equity,,nasdaq_nordics,NASDAQ,DK,https://finance.yahoo.com/quote/NTG.CO/
810,Wetteri Oyj ,WETTERI.HE,WETTERI.HE,,equity,,Nasdaq Helsinki,XHEL,FI,https://finance.yahoo.com/quote/WETTERI.HE/
811,Infrea AB,INFREA.ST,INFREA.ST,,equity,,Nasdaq Stockholm,XSTO,SE,https://finance.yahoo.com/quote/INFREA.ST/
33,Hestio,HEST045027FA,,LV0000802650,bonds,,Nasdaq Riga,RSE,LV,https://nasdaqbaltic.com/statistics/en/instrument/LV0000802650/trading
35,Longo Group,LONGO060024FA,,LV0000860062,bonds,,Nasdaq Riga,RSE,LV,https://nasdaqbaltic.com/statistics/et/instrument/LV0000860062/trading
5,Eco Baltia,ECOB080026FA,,LV0000860120,bonds,,Nasdaq Riga,RSE,LV,https://nasdaqbaltic.com/statistics/et/instrument/LV0000860120/trading
92,Alma Media,ALMA,ALMA.HE,FI0009013114,equity,,Nasdaq Helsinki,XHEL,FI,https://www.nasdaqomxnordic.com/shares/microsite?Instrument=HEX29471
63,Amber Beverage Group Holding S.Ã r.l.,AMBEFLOT27A,,LV0000870137,bonds,,Nasdaq Riga,RSE,LV,https://nasdaqbaltic.com/statistics/et/instrument/LV0000870137/trading
