ticker,date,open,high,low,close,volume,vwap,transactions
ANNX,2024-01-02,4.46,4.9,4.43,4.84,853686.0,4.7865,5969
ANNX,2024-01-03,4.75,4.9,4.32,4.51,904373.0,4.5968,8881
ANNX,2024-01-04,4.53,4.82,4.4092,4.79,319947.0,4.7046,3576
ANNX,2024-01-05,4.81,4.83,4.45,4.63,411813.0,4.6894,4738
ANNX,2024-01-08,4.65,4.95,4.45,4.79,840701.0,4.7805,5700
ANNX,2024-01-09,4.69,4.9499,4.59,4.65,913207.0,4.7474,6671
ANNX,2024-01-10,4.65,4.76,4.31,4.39,1292667.0,4.4467,6841
ANNX,2024-01-11,4.37,4.5,4.21,4.3,1479165.0,4.3918,6225
ANNX,2024-01-12,4.35,4.4522,4.05,4.2,955663.0,4.1865,5308
ANNX,2024-01-16,4.13,4.61,4.07,4.41,5462857.0,4.2508,4828
ANNX,2024-01-17,4.23,4.62,4.23,4.6,469971.0,4.4533,4194
ANNX,2024-01-18,4.67,4.74,4.21,4.33,1267641.0,4.3481,9077
ANNX,2024-01-19,4.35,4.515,4.25,4.34,559697.0,4.3624,4679
ANNX,2024-01-22,4.36,4.46,4.215,4.45,598397.0,4.3891,4054
ANNX,2024-01-23,4.54,4.96,4.44,4.69,1850341.0,4.703,9658
ANNX,2024-01-24,4.83,4.838,4.44,4.44,491422.0,4.533,4566
ANNX,2024-01-25,4.54,4.73,4.37,4.6,788751.0,4.6078,6990
ANNX,2024-01-26,4.61,4.75,4.42,4.5,473221.0,4.4912,3998
ANNX,2024-01-29,4.5,4.71,4.43,4.65,496653.0,4.6373,3944
ANNX,2024-01-30,4.62,4.62,4.18,4.22,707811.0,4.2824,5055
ANNX,2024-01-31,4.41,4.49,4.102,4.155,382988.0,4.2322,3579
ANNX,2024-02-01,4.17,4.26,3.95,4.24,372022.0,4.152,3870
ANNX,2024-02-02,4.17,4.195,3.96,4.03,1183527.0,4.0652,3283
ANNX,2024-02-05,3.94,4.7,3.86,4.63,1168803.0,4.2421,5857
ANNX,2024-02-06,4.58,5.53,4.49,5.47,1423462.0,5.1251,6746
ANNX,2024-02-07,5.52,5.87,5.36,5.59,669222.0,5.617,6216
ANNX,2024-02-08,5.67,5.85,5.3129,5.35,702270.0,5.4886,5269
ANNX,2024-02-09,5.35,5.49,5.32,5.44,422694.0,5.4173,4043
ANNX,2024-02-12,5.48,5.7397,5.28,5.43,734945.0,5.5441,5898
ANNX,2024-02-13,5.09,5.29,4.92,5.01,612534.0,5.0406,6513
ANNX,2024-02-14,5.11,5.34,5.0,5.24,358685.0,5.2358,4216
ANNX,2024-02-15,5.29,5.45,5.16,5.21,784882.0,5.2652,6477
ANNX,2024-02-16,5.22,5.39,4.86,5.13,1125114.0,5.0341,11198
ANNX,2024-02-20,5.15,6.0,5.1,5.19,2110969.0,5.3419,10333
ANNX,2024-02-21,5.11,5.2068,4.71,4.91,599319.0,4.8825,5219
ANNX,2024-02-22,5.0,5.23,4.88,5.0,740200.0,5.0238,9138
ANNX,2024-02-23,5.14,5.29,5.01,5.25,346762.0,5.2124,3326
ANNX,2024-02-26,5.35,5.73,5.31,5.44,893208.0,5.4862,5802
ANNX,2024-02-27,5.6,5.75,5.382,5.49,1440305.0,5.5579,6501
