feature,importance
market_cap,0.05929698499109696
float_shares,0.0390659524296383
avg_volume,0.027783781232882672
beta,0.04275770939543181
recent_volume,0.024383117797317666
float_ratio,0.05673649349748716
sector_performance,0.010635789916567046
day_of_week,0.06435570285905522
hour,0.08487656598752137
combined_sentiment,0.14097144142209192
prev_news_sentiment,0.15615050635827254
volatility,0.04802859441582409
days_since_event,0.1729427109405067
exchange_,0.0028136466281568897
exchange_AMS,1.5882633108569972e-05
exchange_ASE,0.001976139209453562
exchange_ASX,7.42489319545314e-05
exchange_BRU,0.00013779828189410453
exchange_CNQ,2.318058079683105e-05
exchange_CPH,0.00015388846042610173
exchange_EBS,6.650060616037621e-05
exchange_FRA,6.789634981053491e-05
exchange_GER,0.00040101927437752267
exchange_HEL,0.0010091367268988394
exchange_ICE,6.579253154159454e-05
exchange_MIL,2.0883750007278003e-05
exchange_NCM,0.006780226782445677
exchange_NGM,0.0032613637034671025
exchange_NMS,0.002562357699262566
exchange_NYQ,0.0022969308014834885
exchange_OQB,0.0009761489419582196
exchange_OSL,0.0009759709303942934
exchange_PAR,0.001198894731787909
exchange_PCX,4.206901623820112e-06
exchange_PNK,0.0017586602500895617
exchange_STO,4.5598092572947036e-05
exchange_YHD,0.0077711263945524
sector_Communication Services,4.655113452012757e-05
sector_Consumer Cyclical,8.376499672484347e-05
sector_Consumer Defensive,0.00018113556218344172
sector_Energy,0.00012049563914205023
sector_Financial Services,0.00040212488983632676
sector_Healthcare,0.0018491796085045513
sector_Industrials,0.00023777856011422116
sector_Real Estate,1.2991032799971611e-05
sector_Technology,0.0002259235266690455
sector_Utilities,6.58609395028165e-05
industry_Aerospace & Defense,1.788321749618026e-05
industry_Airlines,2.7205518641572654e-06
industry_Aluminum,5.6932080815336e-07
industry_Asset Management,0.0018281097557661297
industry_Auto & Truck Dealerships,5.496382238471471e-07
industry_Banks - Regional,6.0567945836726985e-05
industry_Beverages - Non-Alcoholic,1.716448427400495e-05
industry_Biotechnology,0.004473675377683485
industry_Credit Services,4.745783781692508e-06
industry_Diagnostics & Research,0.0015258790244102136
industry_Discount Stores,0.0005387793712978401
industry_Drug Manufacturers - General,0.00032572644145575415
industry_Drug Manufacturers - Specialty & Generic,0.0019601325011247553
industry_Electronic Components,0.006093763598604172
industry_Engineering & Construction,4.688488497778497e-06
industry_Farm Products,4.146117452666361e-06
industry_Health Information Services,6.928561818196542e-07
industry_Home Improvement Retail,0.0005649825969621715
industry_Industrial Distribution,0.0005011992408727219
industry_Information Technology Services,5.363616570359145e-05
industry_Insurance - Specialty,2.3987329592800196e-06
industry_Internet Retail,9.236607200583657e-07
industry_Marine Shipping,0.0005264492760931056
industry_Medical Care Facilities,1.025414438052677e-06
industry_Medical Devices,0.0009175044831974851
industry_Medical Distribution,6.70262257692793e-05
industry_Medical Instruments & Supplies,7.90846707580628e-05
industry_Oil & Gas Drilling,2.516454249313651e-05
industry_Oil & Gas E&P,1.701667451604392e-05
industry_Oil & Gas Equipment & Services,2.1427146363364283e-05
industry_Oil & Gas Integrated,1.3812149797970966e-05
industry_Oil & Gas Midstream,0.00040787018015815815
industry_Oil & Gas Refining & Marketing,8.377944483508787e-06
industry_Packaging & Containers,1.0702740290869946e-05
industry_Publishing,5.7937689307528175e-05
industry_REIT - Industrial,2.4732804694274894e-06
industry_REIT - Specialty,5.090573613585846e-07
industry_Real Estate Services,4.247799298088492e-06
industry_Security & Protection Services,1.8726244354766529e-06
industry_Semiconductor Equipment & Materials,1.7809127733934127e-06
industry_Semiconductors,1.1060646450492418e-05
industry_Software - Application,8.761402255444931e-06
industry_Software - Infrastructure,0.0001335752533330161
industry_Solar,2.197284789831494e-06
industry_Specialty Business Services,2.456484688343297e-06
industry_Specialty Industrial Machinery,0.010448756472387225
industry_Specialty Retail,7.676274140351144e-05
industry_Steel,1.4027707592001849e-06
industry_Telecom Services,3.4034852766318545e-06
industry_Utilities - Renewable,1.709790474231876e-05
industry_Waste Management,2.634393356562393e-07
market_cap_category_Large,0.00019790962760596543
market_cap_category_Mid,0.001090223524537715
market_cap_category_Small,0.0021902549505376464
