event,prev_accuracy,curr_accuracy,accuracy_improvement_pct,above_70_percent
all_events,84.49,82.35,-2.531645569620263,True
annual_general_meeting,75.0,66.67,-11.111111111111116,False
bond_fixing,0.0,75.0,0.0,True
business_contracts,75.0,100.0,33.33333333333333,True
capital_investment,100.0,75.0,-25.0,True
changes_in_companys_own_shares,81.82,90.91,11.111111111111114,True
clinical_study,85.47,87.79,2.721088435374155,True
company_regulatory_filings,80.0,60.0,-25.000000000000007,False
conference_call_webinar,70.15,79.1,12.765957446808498,True
corporate_action,54.55,90.91,66.6666666666667,True
earnings_releases_and_operating_results,68.75,68.75,0.0,False
exchange_announcement,83.33,83.33,0.0,True
financial_results,83.87,83.87,0.0,True
financing_agreements,85.0,85.0,0.0,True
fund_data_announcement,100.0,100.0,0.0,True
geographic_expansion,100.0,0.0,-100.0,False
interim_information,100.0,0.0,-100.0,False
licensing_agreements,80.0,80.0,0.0,True
management_changes,85.19,62.96,-26.08695652173913,False
mergers_acquisitions,100.0,100.0,0.0,True
partnerships,100.0,92.86,-7.14285714285714,True
patents,100.0,66.67,-33.333333333333336,False
press_releases,81.82,81.82,0.0,True
product_services_announcement,100.0,85.0,-15.000000000000002,True
prospectus_announcement,66.67,66.67,0.0,False
regulatory_filings,73.33,93.33,27.27272727272727,True
share_capital_increase,66.67,33.33,-50.0,False
shares_issue,56.25,56.25,0.0,False
trade_show,83.33,33.33,-60.0,False
voting_rights,100.0,60.0,-40.0,False
