event,prev_r2,curr_r2,r2_improvement_pct,above_0_5_r2
all_events,24.77,38.34,54.79421000682335,False
annual_general_meeting,-489.26,-193.31,-60.489908133006956,False
bond_fixing,-17.91,18.76,-204.76155865623565,False
business_contracts,2.19,95.54,4271.305741018603,True
capital_investment,68.11,50.81,-25.402472019310146,True
changes_in_companys_own_shares,52.74,83.97,59.210690589328905,True
clinical_study,28.52,38.47,34.89114438549996,False
company_regulatory_filings,-5100.54,-378.01,-92.58886962680236,False
conference_call_webinar,19.55,20.56,5.1796088150006065,False
corporate_action,-31.55,18.06,-157.24222345515116,False
dividend_reports_and_estimates,-2565.63,-768.35,-70.05226003719027,False
earnings_releases_and_operating_results,22.11,41.33,86.95940501594009,False
environmental_social_governance,0.0,0.0,0.0,False
exchange_announcement,42.99,54.2,26.086532257265958,True
financial_results,23.43,45.37,93.65184453475929,False
financing_agreements,36.19,49.3,36.244826429071495,False
fund_data_announcement,92.0,94.61,2.8284308855139284,True
geographic_expansion,69.22,98.73,42.64036656713162,True
interim_information,78.27,27.5,-64.8725202998653,False
licensing_agreements,33.26,8.44,-74.62516703137871,False
major_shareholder_announcements,-1546.18,-599.3,-61.23999921332671,False
management_changes,74.15,84.65,14.160511683447277,True
mergers_acquisitions,30.69,31.97,4.173407026369756,False
partnerships,69.15,73.11,5.736987152041043,True
patents,-0.51,62.94,-12395.65659307837,True
press_releases,-15.85,-4.39,-72.32573522187873,False
product_services_announcement,54.3,55.31,1.8596705507896345,True
prospectus_announcement,29.06,65.18,124.27965669026129,True
regulatory_filings,-0.25,11.2,-4586.240965235692,False
share_capital_increase,-584.4,-857.28,46.69512574795302,False
shares_issue,-3.5,10.61,-402.95346986255396,False
trade_show,84.7,81.81,-3.4166150322597595,True
voting_rights,-47.51,78.75,-265.7691811007576,True
