event,language,accuracy,precision,recall,f1_score,auc_roc,test_sample,training_sample,total_sample,model_version,vectorizer_version,up_accuracy,down_accuracy,total_up,total_down,correct_up,correct_down,up_predictions_pct,down_predictions_pct
fund_data_announcement,en,1.0,1.0,1.0,1.0,1.0,11,42,53,1,1,100.0,100.0,10,1,10,1,90.9090909090909,9.090909090909092
patents,en,0.9583333333333334,1.0,0.95,0.9743589743589743,0.9875,24,96,120,1,1,95.0,100.0,20,4,19,4,79.16666666666666,20.833333333333336
joint_venture,en,0.9,0.8333333333333334,1.0,0.9090909090909091,0.92,10,37,47,1,1,100.0,80.0,5,5,5,4,60.0,40.0
clinical_study,en,0.845437616387337,0.851010101010101,0.9335180055401662,0.8903566710700133,0.9121128179299924,537,2146,2683,1,1,93.35180055401662,66.47727272727273,361,176,337,117,73.74301675977654,26.256983240223462
research_analysis_and_reports,en,0.8333333333333334,0.8333333333333334,1.0,0.9090909090909091,0.8,6,20,26,1,1,100.0,0.0,5,1,5,0,100.0,0.0
management_statements,en,0.8333333333333334,1.0,0.6666666666666666,0.8,1.0,6,23,29,1,1,66.66666666666666,100.0,3,3,2,3,33.33333333333333,66.66666666666666
partnerships,en,0.8181818181818182,0.8076923076923077,0.9545454545454546,0.875,0.8223140495867768,99,392,491,1,1,95.45454545454545,54.54545454545454,66,33,63,18,78.78787878787878,21.21212121212121
interim_information,en,0.8125,0.84,0.9130434782608695,0.875,0.7753623188405797,32,128,160,1,1,91.30434782608695,55.55555555555556,23,9,21,5,78.125,21.875
managers_transactions,en,0.8076923076923077,0.8571428571428571,0.8,0.8275862068965517,0.9363636363636364,26,101,127,1,1,80.0,81.81818181818183,15,11,12,9,53.84615384615385,46.15384615384615
product_services_announcement,en,0.8032786885245902,0.8444444444444444,0.8837209302325582,0.8636363636363636,0.8578811369509044,122,484,606,1,1,88.37209302325581,61.111111111111114,86,36,76,22,73.77049180327869,26.229508196721312
extraordinary_general_meeting,en,0.8,0.75,1.0,0.8571428571428571,0.75,10,38,48,1,1,100.0,50.0,6,4,6,2,80.0,20.0
bankruptcy,en,0.8,0.7777777777777778,1.0,0.875,0.9047619047619048,10,36,46,1,1,100.0,33.33333333333333,7,3,7,1,90.0,10.0
licensing_agreements,en,0.8,0.8076923076923077,0.9545454545454546,0.875,0.6363636363636364,30,120,150,1,1,95.45454545454545,37.5,22,8,21,3,86.66666666666667,13.333333333333334
government_news,en,0.7878787878787878,0.7857142857142857,0.9565217391304348,0.8627450980392157,0.6804347826086957,33,128,161,1,1,95.65217391304348,40.0,23,10,22,4,84.84848484848484,15.151515151515152
warrants_and_certificates,en,0.7857142857142857,0.6666666666666666,1.0,0.8,0.875,14,55,69,1,1,100.0,62.5,6,8,6,5,64.28571428571429,35.714285714285715
major_shareholder_announcements,en,0.7722772277227723,0.7631578947368421,0.9206349206349206,0.8345323741007195,0.7625313283208021,101,400,501,1,1,92.06349206349206,52.63157894736842,63,38,58,20,75.24752475247524,24.752475247524753
trade_show,en,0.7647058823529411,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.7666666666666666,17,66,83,1,1,91.66666666666666,40.0,12,5,11,2,82.35294117647058,17.647058823529413
environmental_social_governance,en,0.7575757575757576,0.68,1.0,0.8095238095238095,0.8088235294117647,33,128,161,1,1,100.0,50.0,17,16,17,8,75.75757575757575,24.242424242424242
feature_article,en,0.75,0.6666666666666666,1.0,0.8,1.0,4,12,16,1,1,100.0,50.0,2,2,2,1,75.0,25.0
advisory,en,0.75,0.7142857142857143,1.0,0.8333333333333334,0.9333333333333333,8,32,40,1,1,100.0,33.33333333333333,5,3,5,1,87.5,12.5
bond_fixing,en,0.7373134328358208,0.7802197802197802,0.8838174273858921,0.8287937743190662,0.7109781936964774,335,1337,1672,1,1,88.38174273858921,36.17021276595745,241,94,213,34,81.49253731343283,18.507462686567163
press_releases,en,0.7333333333333333,0.75,0.9,0.8181818181818182,0.7330612244897959,105,416,521,1,1,90.0,40.0,70,35,63,14,80.0,20.0
business_contracts,en,0.7256637168141593,0.7428571428571429,0.9512195121951219,0.8342245989304813,0.6477183320220299,113,449,562,1,1,95.1219512195122,12.903225806451612,82,31,78,4,92.92035398230088,7.079646017699115
financing_agreements,en,0.7217391304347827,0.7529411764705882,0.8533333333333334,0.8,0.7901666666666667,115,458,573,1,1,85.33333333333334,47.5,75,40,64,19,73.91304347826086,26.08695652173913
traffic_statistics,en,0.7142857142857143,0.75,0.75,0.75,0.8333333333333334,7,27,34,1,1,75.0,66.66666666666666,4,3,3,2,57.14285714285714,42.857142857142854
contests_awards,en,0.7142857142857143,0.6842105263157895,1.0,0.8125,0.8557692307692308,21,81,102,1,1,100.0,25.0,13,8,13,2,90.47619047619048,9.523809523809524
exchange_announcement,en,0.7102803738317757,0.7702702702702703,0.8028169014084507,0.7862068965517242,0.7200704225352113,107,426,533,1,1,80.28169014084507,52.77777777777778,71,36,57,19,69.1588785046729,30.8411214953271
all_events,en,0.70872429626672,0.707408397967371,0.8787375415282392,0.7838198251592828,0.7624234874912539,5009,20034,0,1,1,87.87375415282392,45.27263631815908,3010,1999,2645,905,74.64563785186664,25.354362148133358
conference_call_webinar,en,0.7080536912751678,0.734375,0.7966101694915254,0.7642276422764228,0.8270532754354017,298,1190,1488,1,1,79.66101694915254,57.85123966942148,177,121,141,70,64.42953020134227,35.57046979865772
law_legal_issues,en,0.7058823529411765,0.75,0.8181818181818182,0.782608695652174,0.6060606060606062,17,67,84,1,1,81.81818181818183,50.0,11,6,9,3,70.58823529411765,29.411764705882355
management_changes,en,0.6974358974358974,0.75,0.768595041322314,0.7591836734693878,0.7592137592137591,195,780,975,1,1,76.85950413223141,58.108108108108105,121,74,93,43,63.589743589743584,36.41025641025641
financial_results,en,0.691131498470948,0.7012987012987013,0.8350515463917526,0.7623529411764706,0.7580226339043485,327,1306,1634,1,1,83.50515463917526,48.1203007518797,194,133,162,64,70.64220183486239,29.357798165137616
mergers_acquisitions,en,0.6875,0.7837837837837838,0.7699115044247787,0.7767857142857143,0.6900771982677462,160,640,800,1,1,76.99115044247787,48.93617021276596,113,47,87,23,69.375,30.625000000000004
