event,language,accuracy,precision,recall,f1_score,auc_roc,test_sample,training_sample,total_sample,model_filename,vectorizer_filename,up_accuracy,down_accuracy,total_up,total_down,correct_up,correct_down,up_predictions_pct,down_predictions_pct
product_services_announcement,en,1.0,1.0,1.0,1.0,1.0,20,77,97,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\product_services_announcement_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\product_services_announcement_tfidf_vectorizer_binary.joblib,100.0,100.0,10,10,10,10,50.0,50.0
partnerships,en,1.0,1.0,1.0,1.0,1.0,14,55,69,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\partnerships_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\partnerships_tfidf_vectorizer_binary.joblib,100.0,100.0,7,7,7,7,50.0,50.0
geographic_expansion,en,1.0,1.0,1.0,1.0,1.0,4,15,19,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\geographic_expansion_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\geographic_expansion_tfidf_vectorizer_binary.joblib,100.0,100.0,3,1,3,1,75.0,25.0
mergers_acquisitions,en,1.0,1.0,1.0,1.0,1.0,12,44,56,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\mergers_acquisitions_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\mergers_acquisitions_tfidf_vectorizer_binary.joblib,100.0,100.0,7,5,7,5,58.333333333333336,41.66666666666667
capital_investment,en,1.0,1.0,1.0,1.0,1.0,4,12,16,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\capital_investment_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\capital_investment_tfidf_vectorizer_binary.joblib,100.0,100.0,2,2,2,2,50.0,50.0
interim_information,en,1.0,1.0,1.0,1.0,1.0,3,10,13,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\interim_information_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\interim_information_tfidf_vectorizer_binary.joblib,100.0,100.0,1,2,1,2,33.33333333333333,66.66666666666666
fund_data_announcement,en,1.0,1.0,1.0,1.0,1.0,7,26,33,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\fund_data_announcement_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\fund_data_announcement_tfidf_vectorizer_binary.joblib,100.0,100.0,6,1,6,1,85.71428571428571,14.285714285714285
patents,en,1.0,1.0,1.0,1.0,1.0,6,24,30,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\patents_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\patents_tfidf_vectorizer_binary.joblib,100.0,100.0,3,3,3,3,50.0,50.0
trade_show,en,0.8333333333333334,0.0,0.0,0.0,0.4,6,20,26,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\trade_show_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\trade_show_tfidf_vectorizer_binary.joblib,0.0,100.0,1,5,0,5,0.0,100.0
exchange_announcement,en,0.8333333333333334,0.5,0.5,0.5,0.95,12,45,57,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\exchange_announcement_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\exchange_announcement_tfidf_vectorizer_binary.joblib,50.0,90.0,2,10,1,9,16.666666666666664,83.33333333333334
management_changes,en,0.8148148148148148,0.8,0.5,0.6153846153846154,0.881578947368421,27,107,134,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\management_changes_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\management_changes_tfidf_vectorizer_binary.joblib,50.0,94.73684210526315,8,19,4,18,18.51851851851852,81.48148148148148
clinical_study,en,0.8023255813953488,0.7727272727272727,0.8292682926829268,0.8,0.8741869918699188,172,685,857,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\clinical_study_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\clinical_study_tfidf_vectorizer_binary.joblib,82.92682926829268,77.77777777777779,82,90,68,70,51.162790697674424,48.837209302325576
company_regulatory_filings,en,0.8,0.6666666666666666,1.0,0.8,0.9166666666666667,5,18,23,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\company_regulatory_filings_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\company_regulatory_filings_tfidf_vectorizer_binary.joblib,100.0,66.66666666666666,2,3,2,2,60.0,40.0
licensing_agreements,en,0.8,0.75,1.0,0.8571428571428571,0.6666666666666666,5,20,25,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\licensing_agreements_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\licensing_agreements_tfidf_vectorizer_binary.joblib,100.0,50.0,3,2,3,1,80.0,20.0
all_events,en,0.7843137254901961,0.823045267489712,0.7194244604316546,0.7677543186180422,0.8638622670767979,561,2241,0,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\all_events_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\all_events_tfidf_vectorizer_binary.joblib,71.94244604316546,84.80565371024736,278,283,200,240,43.31550802139038,56.68449197860963
financial_results,en,0.7419354838709677,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.7647058823529411,31,123,154,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financial_results_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financial_results_tfidf_vectorizer_binary.joblib,82.35294117647058,64.28571428571429,17,14,14,9,61.29032258064516,38.70967741935484
conference_call_webinar,en,0.7313432835820896,0.8421052631578947,0.5161290322580645,0.64,0.8266129032258065,67,264,331,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\conference_call_webinar_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\conference_call_webinar_tfidf_vectorizer_binary.joblib,51.61290322580645,91.66666666666666,31,36,16,33,28.35820895522388,71.64179104477611
press_releases,en,0.7272727272727273,0.8,0.6666666666666666,0.7272727272727273,0.8666666666666667,11,44,55,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\press_releases_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\press_releases_tfidf_vectorizer_binary.joblib,66.66666666666666,80.0,6,5,4,4,45.45454545454545,54.54545454545454
changes_in_companys_own_shares,en,0.7272727272727273,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.7666666666666666,11,41,52,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\changes_in_companys_own_shares_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\changes_in_companys_own_shares_tfidf_vectorizer_binary.joblib,83.33333333333334,60.0,6,5,5,3,63.63636363636363,36.36363636363637
financing_agreements,en,0.7,1.0,0.25,0.4,0.8802083333333334,20,80,100,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financing_agreements_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financing_agreements_tfidf_vectorizer_binary.joblib,25.0,100.0,8,12,2,12,10.0,90.0
regulatory_filings,en,0.6666666666666666,0.6,0.8571428571428571,0.7058823529411765,0.7321428571428571,15,57,72,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\regulatory_filings_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\regulatory_filings_tfidf_vectorizer_binary.joblib,85.71428571428571,50.0,7,8,6,4,66.66666666666666,33.33333333333333
annual_general_meeting,en,0.6666666666666666,0.0,0.0,0.0,0.9375,12,45,57,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\annual_general_meeting_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\annual_general_meeting_tfidf_vectorizer_binary.joblib,0.0,100.0,4,8,0,8,0.0,100.0
prospectus_announcement,en,0.6666666666666666,0.0,0.0,0.0,0.5,3,11,14,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\prospectus_announcement_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\prospectus_announcement_tfidf_vectorizer_binary.joblib,0.0,100.0,1,2,0,2,0.0,100.0
share_capital_increase,en,0.6666666666666666,0.0,0.0,0.0,1.0,3,9,12,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\share_capital_increase_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\share_capital_increase_tfidf_vectorizer_binary.joblib,0.0,100.0,1,2,0,2,0.0,100.0
earnings_releases_and_operating_results,en,0.5625,0.625,0.3125,0.4166666666666667,0.67578125,32,127,159,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\earnings_releases_and_operating_results_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\earnings_releases_and_operating_results_tfidf_vectorizer_binary.joblib,31.25,81.25,16,16,5,13,25.0,75.0
corporate_action,en,0.5454545454545454,0.6,0.8571428571428571,0.7058823529411765,0.8214285714285714,11,40,51,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\corporate_action_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\corporate_action_tfidf_vectorizer_binary.joblib,85.71428571428571,0.0,7,4,6,0,90.9090909090909,9.090909090909092
business_contracts,en,0.5,0.5,1.0,0.6666666666666666,0.75,8,28,36,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\business_contracts_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\business_contracts_tfidf_vectorizer_binary.joblib,100.0,0.0,4,4,4,0,100.0,0.0
shares_issue,en,0.5,0.0,0.0,0.0,0.6825396825396826,16,63,79,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\shares_issue_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\shares_issue_tfidf_vectorizer_binary.joblib,0.0,88.88888888888889,7,9,0,8,6.25,93.75
voting_rights,en,0.2,0.2,1.0,0.3333333333333333,0.875,5,17,22,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\voting_rights_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\voting_rights_tfidf_vectorizer_binary.joblib,100.0,0.0,1,4,1,0,100.0,0.0
