event,language,accuracy,precision,recall,f1_score,auc_roc,test_sample,training_sample,total_sample,model_filename,vectorizer_filename,up_accuracy,down_accuracy,total_up,total_down,correct_up,correct_down,up_predictions_pct,down_predictions_pct
fund_data_announcement,en,1.0,1.0,1.0,1.0,1.0,7,26,33,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\fund_data_announcement_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\fund_data_announcement_tfidf_vectorizer_binary.joblib,100.0,100.0,6,1,6,1,85.71428571428571,14.285714285714285
business_contracts,en,1.0,1.0,1.0,1.0,1.0,8,28,36,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\business_contracts_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\business_contracts_tfidf_vectorizer_binary.joblib,100.0,100.0,7,1,7,1,87.5,12.5
mergers_acquisitions,en,1.0,1.0,1.0,1.0,1.0,12,44,56,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\mergers_acquisitions_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\mergers_acquisitions_tfidf_vectorizer_binary.joblib,100.0,100.0,6,6,6,6,50.0,50.0
regulatory_filings,en,0.9333333333333333,1.0,0.8888888888888888,0.9411764705882353,1.0,15,57,72,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\regulatory_filings_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\regulatory_filings_tfidf_vectorizer_binary.joblib,88.88888888888889,100.0,9,6,8,6,53.333333333333336,46.666666666666664
partnerships,en,0.9285714285714286,0.875,1.0,0.9333333333333333,0.9489795918367346,14,55,69,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\partnerships_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\partnerships_tfidf_vectorizer_binary.joblib,100.0,85.71428571428571,7,7,7,6,57.14285714285714,42.857142857142854
corporate_action,en,0.9090909090909091,0.9,1.0,0.9473684210526315,0.7222222222222222,11,40,51,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\corporate_action_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\corporate_action_tfidf_vectorizer_binary.joblib,100.0,50.0,9,2,9,1,90.9090909090909,9.090909090909092
changes_in_companys_own_shares,en,0.9090909090909091,1.0,0.8888888888888888,0.9411764705882353,1.0,11,41,52,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\changes_in_companys_own_shares_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\changes_in_companys_own_shares_tfidf_vectorizer_binary.joblib,88.88888888888889,100.0,9,2,8,2,72.72727272727273,27.27272727272727
clinical_study,en,0.877906976744186,0.8602150537634409,0.9090909090909091,0.8839779005524862,0.9423701298701299,172,685,857,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\clinical_study_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\clinical_study_tfidf_vectorizer_binary.joblib,90.9090909090909,84.52380952380952,88,84,80,71,54.06976744186046,45.93023255813954
product_services_announcement,en,0.85,1.0,0.75,0.8571428571428571,0.9947916666666666,20,77,97,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\product_services_announcement_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\product_services_announcement_tfidf_vectorizer_binary.joblib,75.0,100.0,12,8,9,8,45.0,55.00000000000001
financing_agreements,en,0.85,0.8,0.6666666666666666,0.7272727272727273,0.976190476190476,20,80,100,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financing_agreements_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financing_agreements_tfidf_vectorizer_binary.joblib,66.66666666666666,92.85714285714286,6,14,4,13,25.0,75.0
