event,model,accuracy,precision,recall,f1_score,auc_roc,test_sample,training_sample,total_sample,up_accuracy,down_accuracy,total_up,total_down,correct_up,correct_down,up_predictions_pct,down_predictions_pct,cv_log_loss,params
licensing_agreements,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,5,20,25,100.0,100.0,4,1,4,1,80.0,20.0,0.4233510732882322,"{'n_estimators': 298, 'min_samples_split': 7, 'min_samples_leaf': 1}"
fund_data_announcement,AdaBoostClassifier,1.0,1.0,1.0,1.0,1.0,7,26,33,100.0,100.0,5,2,5,2,71.42857142857143,28.57142857142857,0.3815045316715666,"{'n_estimators': 211, 'learning_rate': 1.996271552789765}"
interim_information,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,3,10,13,100.0,100.0,2,1,2,1,66.66666666666666,33.33333333333333,0.6123825352316224,"{'n_estimators': 299, 'min_samples_split': 5, 'min_samples_leaf': 1}"
bond_fixing,AdaBoostClassifier,1.0,1.0,1.0,1.0,1.0,4,16,20,100.0,100.0,1,3,1,3,25.0,75.0,0.3713724554874171,"{'n_estimators': 253, 'learning_rate': 1.2440368053765156}"
capital_investment,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,4,12,16,100.0,100.0,2,2,2,2,50.0,50.0,0.5329171286559856,"{'n_estimators': 52, 'min_samples_split': 5, 'min_samples_leaf': 1}"
financial_results,RandomForestClassifier,0.9354838709677419,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9453781512605042,31,123,154,94.11764705882352,92.85714285714286,17,14,16,13,54.83870967741935,45.16129032258064,0.5301392428136292,"{'n_estimators': 263, 'min_samples_split': 2, 'min_samples_leaf': 1}"
changes_in_companys_own_shares,XGBClassifier,0.9090909090909091,0.875,1.0,0.9333333333333333,0.9285714285714286,11,41,52,100.0,75.0,7,4,7,3,72.72727272727273,27.27272727272727,0.6540852220690063,"{'n_estimators': 50, 'max_depth': 17, 'learning_rate': 0.028981978863981333, 'subsample': 0.5853357991310321}"
corporate_action,RandomForestClassifier,0.9090909090909091,0.8888888888888888,1.0,0.9411764705882353,0.9166666666666667,11,40,51,100.0,66.66666666666666,8,3,8,2,81.81818181818183,18.181818181818183,0.36854512458191735,"{'n_estimators': 67, 'min_samples_split': 6, 'min_samples_leaf': 1}"
product_services_announcement,RandomForestClassifier,0.9,0.9,0.9,0.9,0.9,20,77,97,90.0,90.0,10,10,9,9,50.0,50.0,0.38577753606881143,"{'n_estimators': 144, 'min_samples_split': 2, 'min_samples_leaf': 1}"
business_contracts,RandomForestClassifier,0.875,1.0,0.8,0.8888888888888888,1.0,8,28,36,80.0,100.0,5,3,4,3,50.0,50.0,0.32593514411931795,"{'n_estimators': 94, 'min_samples_split': 2, 'min_samples_leaf': 1}"
clinical_study,RandomForestClassifier,0.872093023255814,0.8953488372093024,0.8555555555555555,0.875,0.9198509485094851,172,685,857,85.55555555555556,89.02439024390245,90,82,77,73,50.0,50.0,0.4772395337222268,"{'n_estimators': 139, 'min_samples_split': 2, 'min_samples_leaf': 1}"
