event,language,mse,r2,mae,rmse,test_sample,training_sample,total_sample,model_filename,vectorizer_filename
bond_fixing,en,0.024258471459596517,0.801946684378769,0.12907472296523403,0.15575131286636565,3,8,11,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\bond_fixing_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\bond_fixing_tfidf_vectorizer_regression.joblib
regulatory_filings,en,2.5726134097565048,0.19189331742100846,1.1691958583853646,1.6039368471846094,13,48,61,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\regulatory_filings_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\regulatory_filings_tfidf_vectorizer_regression.joblib
major_shareholder_announcements,en,0.5013017839527836,0.17840924933207924,0.5676174153882342,0.7080266830796588,4,13,17,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\major_shareholder_announcements_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\major_shareholder_announcements_tfidf_vectorizer_regression.joblib
mergers_acquisitions,en,3.9423487170889726,0.11254209680357563,1.4040040869141153,1.9855348692704877,9,36,45,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\mergers_acquisitions_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\mergers_acquisitions_tfidf_vectorizer_regression.joblib
changes_in_companys_own_shares,en,2.141065885577358,0.049895936369442895,1.1141865107978852,1.4632381506704089,9,36,45,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\changes_in_companys_own_shares_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\changes_in_companys_own_shares_tfidf_vectorizer_regression.joblib
management_changes,en,3.0749223373820507,0.03811923238363857,1.1810462471822376,1.753545647361953,20,78,98,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\management_changes_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\management_changes_tfidf_vectorizer_regression.joblib
corporate_action,en,5.016232081175286,0.00977259191374269,1.397981356979248,2.239694640163093,11,44,55,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\corporate_action_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\corporate_action_tfidf_vectorizer_regression.joblib
environmental_social_governance,en,3.865418435582958e-29,0.0,6.217248937900877e-15,6.217248937900877e-15,3,10,13,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\environmental_social_governance_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\environmental_social_governance_tfidf_vectorizer_regression.joblib
share_capital_increase,en,1.3709166940836948,0.0,1.1491167854334332,1.1708615178934247,2,8,10,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\share_capital_increase_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\share_capital_increase_tfidf_vectorizer_regression.joblib
all_events,en,3.2968051726847887,-0.03437165940453624,1.2852844722864272,1.8157106522474302,442,1765,0,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\all_events_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\all_events_tfidf_vectorizer_regression.joblib
exchange_announcement,en,1.9281215044303874,-0.07990745765758245,1.0594560872705694,1.3885681490047175,9,33,42,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\exchange_announcement_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\exchange_announcement_tfidf_vectorizer_regression.joblib
annual_general_meeting,en,0.392633591649706,-0.09429435666160568,0.46934525303897423,0.6266048129800041,9,34,43,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\annual_general_meeting_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\annual_general_meeting_tfidf_vectorizer_regression.joblib
earnings_releases_and_operating_results,en,4.659057194724609,-0.0943206600197426,1.4519786949911053,2.1584849303909,26,102,128,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\earnings_releases_and_operating_results_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\earnings_releases_and_operating_results_tfidf_vectorizer_regression.joblib
clinical_study,en,3.8843131840489487,-0.13599601834978947,1.3702515263209167,1.9708660999796381,133,532,665,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\clinical_study_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\clinical_study_tfidf_vectorizer_regression.joblib
licensing_agreements,en,4.154454807370754,-0.14653990384978277,1.186744773893121,2.038247974945824,5,18,23,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\licensing_agreements_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\licensing_agreements_tfidf_vectorizer_regression.joblib
financing_agreements,en,2.368804052732903,-0.1895171237629507,1.0059274742061373,1.5390919572049302,14,56,70,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financing_agreements_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financing_agreements_tfidf_vectorizer_regression.joblib
press_releases,en,1.5599870360519408,-0.1923968966066789,0.8632046394611561,1.2489944099362258,9,35,44,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\press_releases_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\press_releases_tfidf_vectorizer_regression.joblib
business_contracts,en,2.429817815341082,-0.2310160813170512,1.1082096336523957,1.5587872899600772,6,22,28,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\business_contracts_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\business_contracts_tfidf_vectorizer_regression.joblib
product_services_announcement,en,3.7150766856603124,-0.263809924868736,1.215986163557385,1.92745341984192,15,58,73,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\product_services_announcement_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\product_services_announcement_tfidf_vectorizer_regression.joblib
