event,language,mse,r2,mae,rmse,test_sample,training_sample,total_sample,model_filename,vectorizer_filename
geographic_expansion,en,0.01145141172048859,0.9873122624679861,0.09285553141271558,0.10701126912848287,4,15,19,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\geographic_expansion_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\geographic_expansion_tfidf_vectorizer_regression.joblib
business_contracts,en,0.40445067539562124,0.9554471939617509,0.42277850629493796,0.6359643664511568,8,28,36,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\business_contracts_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\business_contracts_tfidf_vectorizer_regression.joblib
fund_data_announcement,en,0.36532250711810293,0.9460596313163834,0.35687364126520266,0.6044191485369262,7,26,33,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\fund_data_announcement_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\fund_data_announcement_tfidf_vectorizer_regression.joblib
management_changes,en,0.9062649961120433,0.8465086775458959,0.6160647148018298,0.9519795145443222,27,107,134,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\management_changes_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\management_changes_tfidf_vectorizer_regression.joblib
changes_in_companys_own_shares,en,0.29011250637151315,0.8396739658963959,0.32801453638412986,0.5386209301275927,11,41,52,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\changes_in_companys_own_shares_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\changes_in_companys_own_shares_tfidf_vectorizer_regression.joblib
trade_show,en,0.34739809997675364,0.8180528978822655,0.45991426737536134,0.5894048693188356,6,20,26,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\trade_show_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\trade_show_tfidf_vectorizer_regression.joblib
voting_rights,en,1.0025450997552148,0.7875234811556562,0.8856189370717745,1.0012717412147487,5,17,22,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\voting_rights_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\voting_rights_tfidf_vectorizer_regression.joblib
partnerships,en,4.782900171761157,0.7311394362705584,1.6114179608456962,2.1869842641777644,14,55,69,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\partnerships_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\partnerships_tfidf_vectorizer_regression.joblib
prospectus_announcement,en,0.6603549772076537,0.6517654978992379,0.5243977307062218,0.8126222844641007,3,11,14,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\prospectus_announcement_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\prospectus_announcement_tfidf_vectorizer_regression.joblib
patents,en,0.9354020575254403,0.6293564536428424,0.8006487292460541,0.9671618569430043,6,24,30,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\patents_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\patents_tfidf_vectorizer_regression.joblib
product_services_announcement,en,7.659952823544337,0.5530568728376054,1.6774538643822372,2.767661977833337,20,77,97,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\product_services_announcement_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\product_services_announcement_tfidf_vectorizer_regression.joblib
exchange_announcement,en,4.783299616956982,0.5420114295793711,1.4287693981062652,2.187075585560998,12,45,57,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\exchange_announcement_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\exchange_announcement_tfidf_vectorizer_regression.joblib
capital_investment,en,8.208491212274614,0.5081101440520581,2.0382925653371036,2.8650464590080587,4,12,16,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\capital_investment_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\capital_investment_tfidf_vectorizer_regression.joblib
financing_agreements,en,7.394981119873902,0.4930466372790413,1.367516760559592,2.7193714567660487,20,80,100,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financing_agreements_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financing_agreements_tfidf_vectorizer_regression.joblib
financial_results,en,7.846495712692513,0.4536671337288377,1.7765570648176792,2.801159708530114,31,123,154,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financial_results_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financial_results_tfidf_vectorizer_regression.joblib
earnings_releases_and_operating_results,en,4.652716963605036,0.4133275968966409,1.7706284746746226,2.1570157541392776,32,127,159,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\earnings_releases_and_operating_results_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\earnings_releases_and_operating_results_tfidf_vectorizer_regression.joblib
clinical_study,en,9.687043499690025,0.38470507207657556,1.9361599847717743,3.1124015646587164,172,685,857,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\clinical_study_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\clinical_study_tfidf_vectorizer_regression.joblib
all_events,en,7.7953564000346525,0.3834038468213318,1.6679507581028983,2.7920165472351077,561,2241,2802,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\all_events_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\all_events_tfidf_vectorizer_regression.joblib
mergers_acquisitions,en,12.291799943448998,0.319659397340454,2.267928942012276,3.5059663351847803,12,44,56,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\mergers_acquisitions_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\mergers_acquisitions_tfidf_vectorizer_regression.joblib
interim_information,en,5.484542424589954,0.2749544369943311,1.7393334084249776,2.341909994980583,3,10,13,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\interim_information_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\interim_information_tfidf_vectorizer_regression.joblib
conference_call_webinar,en,4.262937207732825,0.20557586749968892,1.2971636505498243,2.064688162346272,67,264,331,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\conference_call_webinar_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\conference_call_webinar_tfidf_vectorizer_regression.joblib
bond_fixing,en,0.0597363642126314,0.1876493700570243,0.12220511876823306,0.24441023753646532,4,16,20,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\bond_fixing_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\bond_fixing_tfidf_vectorizer_regression.joblib
corporate_action,en,20.030279177356963,0.18061617238457206,3.272959235841863,4.4755199896053375,11,40,51,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\corporate_action_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\corporate_action_tfidf_vectorizer_regression.joblib
regulatory_filings,en,8.00957400879909,0.1120095731196259,1.6944929334593595,2.8301190803213725,15,57,72,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\regulatory_filings_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\regulatory_filings_tfidf_vectorizer_regression.joblib
shares_issue,en,21.587314137320263,0.10611352820315223,3.4830026654903072,4.646215033478354,16,63,79,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\shares_issue_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\shares_issue_tfidf_vectorizer_regression.joblib
licensing_agreements,en,10.873289499366788,0.08438442146418801,2.518091438206203,3.2974671339327686,5,20,25,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\licensing_agreements_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\licensing_agreements_tfidf_vectorizer_regression.joblib
environmental_social_governance,en,3.865418435582958e-29,0.0,6.217248937900877e-15,6.217248937900877e-15,3,10,13,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\environmental_social_governance_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\environmental_social_governance_tfidf_vectorizer_regression.joblib
press_releases,en,11.934268227842075,-0.043852071435351636,2.2876033658254253,3.454601022960839,11,44,55,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\press_releases_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\press_releases_tfidf_vectorizer_regression.joblib
annual_general_meeting,en,0.24188001596194367,-1.933055048918146,0.22709837005142197,0.4918129888097138,12,45,57,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\annual_general_meeting_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\annual_general_meeting_tfidf_vectorizer_regression.joblib
company_regulatory_filings,en,0.2602992502591411,-3.7800798269545925,0.31106118467597893,0.5101953059948132,5,18,23,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\company_regulatory_filings_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\company_regulatory_filings_tfidf_vectorizer_regression.joblib
major_shareholder_announcements,en,0.5030472159449582,-5.992975010110466,0.6091408170120542,0.709258215281965,4,12,16,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\major_shareholder_announcements_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\major_shareholder_announcements_tfidf_vectorizer_regression.joblib
dividend_reports_and_estimates,en,4.299895966751497,-7.683467319380549,1.8964041663248465,2.0736190505373684,3,11,14,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\dividend_reports_and_estimates_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\dividend_reports_and_estimates_tfidf_vectorizer_regression.joblib
share_capital_increase,en,18.173312545760698,-8.572824247518366,3.4307556675111317,4.263016836204227,3,9,12,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\share_capital_increase_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\share_capital_increase_tfidf_vectorizer_regression.joblib
