event,language,mse,r2,mae,rmse,test_sample,training_sample,total_sample,model_filename,vectorizer_filename
bond_fixing,en,0.01709679606487155,0.8222123576385105,0.07258393595591726,0.1307547171801903,4,16,20,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\bond_fixing_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\bond_fixing_tfidf_vectorizer_regression.joblib
fund_data_announcement,en,1.2181618756878336,0.8112462299082531,0.6763619884878185,1.1037037082876153,7,26,33,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\fund_data_announcement_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\fund_data_announcement_tfidf_vectorizer_regression.joblib
exchange_announcement,en,1.0027121670095458,0.7792462953495309,0.6206066909455529,1.0013551652683206,12,45,57,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\exchange_announcement_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\exchange_announcement_tfidf_vectorizer_regression.joblib
prospectus_announcement,en,0.57562038274676,0.7668746713452725,0.4520125043112074,0.7586965023952331,3,11,14,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\prospectus_announcement_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\prospectus_announcement_tfidf_vectorizer_regression.joblib
financing_agreements,en,2.0453316774954557,0.5572976558553439,0.7795345519971353,1.430150928222422,20,80,100,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financing_agreements_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financing_agreements_tfidf_vectorizer_regression.joblib
product_services_announcement,en,8.672754295055999,0.53264633356508,2.027467377994223,2.944954039549004,20,77,97,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\product_services_announcement_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\product_services_announcement_tfidf_vectorizer_regression.joblib
conference_call_webinar,en,3.9441111091420593,0.48245244246699626,1.208927596593168,1.9859786275642695,67,264,331,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\conference_call_webinar_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\conference_call_webinar_tfidf_vectorizer_regression.joblib
partnerships,en,5.340936967785148,0.44226113267321066,1.7658606045700138,2.3110467255737492,14,55,69,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\partnerships_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\partnerships_tfidf_vectorizer_regression.joblib
regulatory_filings,en,1.5297650790713773,0.37500677099397395,0.8093505544640469,1.2368367228827648,15,57,72,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\regulatory_filings_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\regulatory_filings_tfidf_vectorizer_regression.joblib
financial_results,en,8.151381253134344,0.3616518398226426,1.4784152059360147,2.855062390410119,31,123,154,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financial_results_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financial_results_tfidf_vectorizer_regression.joblib
