event,language,accuracy,precision,recall,f1_score,auc_roc,test_sample,training_sample,total_sample,model_filename,vectorizer_filename,up_accuracy,down_accuracy,total_up,total_down,correct_up,correct_down,up_predictions_pct,down_predictions_pct,mlflow_run_id,mlflow_model_uri
annual_meetings_shareholder_rights,en,1.0,1.0,1.0,1.0,1.0,3,8,11,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\annual_meetings_shareholder_rights_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\annual_meetings_shareholder_rights_tfidf_vectorizer_binary.joblib,100.0,100.0,1,2,1,2,33.33333333333333,66.66666666666666,74615782687b4e799364d96e7be65bc3,runs:/74615782687b4e799364d96e7be65bc3/model
analyst_coverage,en,1.0,1.0,1.0,1.0,1.0,5,20,25,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\analyst_coverage_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\analyst_coverage_tfidf_vectorizer_binary.joblib,100.0,100.0,3,2,3,2,60.0,40.0,01c2d7cc43bd4f0d8db698f791d6599c,runs:/01c2d7cc43bd4f0d8db698f791d6599c/model
contests_awards,en,1.0,1.0,1.0,1.0,1.0,8,31,39,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\contests_awards_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\contests_awards_tfidf_vectorizer_binary.joblib,100.0,100.0,5,3,5,3,62.5,37.5,0a92d73b38814e3a8110de1d3193fc57,runs:/0a92d73b38814e3a8110de1d3193fc57/model
patents,en,0.9090909090909091,0.8888888888888888,1.0,0.9411764705882353,0.6875000000000001,11,43,54,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\patents_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\patents_tfidf_vectorizer_binary.joblib,100.0,66.66666666666666,8,3,8,2,81.81818181818183,18.181818181818183,97c05eff070d487cb45f804f9d2d1bf5,runs:/97c05eff070d487cb45f804f9d2d1bf5/model
trade_show,en,0.8888888888888888,1.0,0.75,0.8571428571428571,0.85,9,33,42,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\trade_show_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\trade_show_tfidf_vectorizer_binary.joblib,75.0,100.0,4,5,3,5,33.33333333333333,66.66666666666666,e8f3ef45158e4c109050aa47c676ce6a,runs:/e8f3ef45158e4c109050aa47c676ce6a/model
warrants_and_certificates,en,0.875,0.5,1.0,0.6666666666666666,0.9285714285714286,8,30,38,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\warrants_and_certificates_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\warrants_and_certificates_tfidf_vectorizer_binary.joblib,100.0,85.71428571428571,1,7,1,6,25.0,75.0,0094ff0749274b6da3a97771d71e8743,runs:/0094ff0749274b6da3a97771d71e8743/model
law_legal_issues,en,0.8571428571428571,0.8,1.0,0.8888888888888888,0.9166666666666667,7,25,32,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\law_legal_issues_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\law_legal_issues_tfidf_vectorizer_binary.joblib,100.0,66.66666666666666,4,3,4,2,71.42857142857143,28.57142857142857,3ff7ca6ec4b34e9880942612342d296d,runs:/3ff7ca6ec4b34e9880942612342d296d/model
partnerships,en,0.8484848484848485,0.8,0.9411764705882353,0.8648648648648649,0.8602941176470589,33,131,164,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\partnerships_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\partnerships_tfidf_vectorizer_binary.joblib,94.11764705882352,75.0,17,16,16,12,60.60606060606061,39.39393939393939,f1eb7b58eab349099f6dafbd3e126760,runs:/f1eb7b58eab349099f6dafbd3e126760/model
trading_information,en,0.8421052631578947,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.8717948717948718,19,76,95,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\trading_information_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\trading_information_tfidf_vectorizer_binary.joblib,92.3076923076923,66.66666666666666,13,6,12,4,73.68421052631578,26.31578947368421,384f8ea74e5246739bff16ab0af37eb5,runs:/384f8ea74e5246739bff16ab0af37eb5/model
observation_status,en,0.8333333333333334,0.3333333333333333,1.0,0.5,1.0,12,45,57,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\observation_status_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\observation_status_tfidf_vectorizer_binary.joblib,100.0,81.81818181818183,1,11,1,9,25.0,75.0,829c90ca8c0d4531aea247a0658a48c2,runs:/829c90ca8c0d4531aea247a0658a48c2/model
